Unnamed: 0,brand,model,price,engine,year,mileage,fuel,gearbox,location,car_age,price_per_km,brand_classification,log_price,log_mileage
186,Ford,Puma,18990,1.0 EcoBoost 92kW (125cv) ST-Line MHEV,2020,2584,Híbrido,Manual,Esplugas,5,7.349071207430341,economy,9.851720461714244,7.85748078694253
187,Audi,A1,15290,1.0 TFSI 95CV S tronic Attracted,2015,111793,Gasolina,Automatica,Esplugas,10,0.13677063859096725,luxury,9.63501969900815,11.624413171000027
189,Hyundai,Tucson,24990,1.6 GDI 97kW (131CV) N-Line Lite 4X2,2020,8320,Gasolina,Manual,Mataró,5,3.003605769230769,economy,10.126271039034782,9.02653771890043
191,Volkswagen,Golf,18960,GTD 2.0 TDI 184CV DSG BMT,2016,85000,Diésel,Automatica,Sabadell 1,9,0.22305882352941175,economy,9.850139517034203,11.350418300109132
193,SEAT,Ibiza,12350,SC 1.0 EcoTSI 110cv FR,2016,56000,Gasolina,Manual,Sabadell 1,9,0.22053571428571428,economy,9.421492310438014,10.933124826700706
194,Opel,Astra,10980,1.6 CDTi S/S 100kW (136CV) Dynamic,2016,155000,Diésel,Automatica,Sabadell 1,9,0.07083870967741936,economy,9.303921785597712,11.951186847493474
195,SEAT,Arona,15490,1.0 TSI 70kW (95CV) Style Ecomotive,2017,55630,Gasolina,Manual,Hospitalet,8,0.27844688117921984,economy,9.648014489106362,10.92649587882005
197,Renault,Kangoo,10990,Profesional N1 Energy dCi 66kW (90CV) E6,2018,140000,Diésel,Manual,Hospitalet,7,0.0785,economy,9.3048320350689,11.849404844423074
198,Ford,Tourneo Courier,12490,1.5 TDCi 74kW (100CV) Trend,2018,105000,Diésel,Manual,Badalona,7,0.11895238095238095,economy,9.43276366396591,11.561725152903833
199,Audi,S5,19990,3.0 S5 TFSI quattro S Tronic cabrio,2011,156230,Gasolina,Automatica,Mataró,14,0.12795237790437175,luxury,9.903037451255743,11.959090960204769
200,BMW,Serie 5,14490,520d,2013,142121,Diésel,Manual,Esplugas,12,0.10195537605280008,luxury,9.581283046045924,11.864441122650636
202,Toyota,Verso,9990,120D Comfort 5pl.,2013,135800,Diésel,Manual,Sabadell 3,12,0.0735640648011782,economy,9.209439966733019,11.81894585784987
203,Peugeot,308,10990,SW Allure 1.6 BlueHDI 120,2016,116800,Diésel,Manual,Sabadell 3,9,0.09409246575342466,economy,9.3048320350689,11.668226910983448
205,Kia,Niro,19490,1.6 GDi Híbrido 104kW (141CV) Drive,2019,42000,Híbrido,Automatica,Sabadell 3,6,0.46404761904761904,economy,9.87770809954864,10.645448706505872
